Time (seconds), 1 Rate,2 Rate,3 Rate,4 Rate,5 Rate
0,125,126,119,131,158
5,132,126,130,127,157
10,134,122,133,122,155
15,129,122,139,127,155
20,132,110,141,139,152
25,134,116,142,137,151
30,126,118,145,137,149
35,128,116,145,137,148
40,128,114,147,152,144
45,128,110,148,152,146
50,128,104,149,155,157
55,116,103,149,155,165
60,117,115,137,151,168
65,125,120,135,142,170
70,126,121,142,141,170
75,119,136,146,139,171
80,119,138,142,132,171
85,122,140,140,135,170
90,127,144,144,130,169
95,135,155,144,132,168
100,135,154,144,128,164
105,135,153,142,125,158
110,133,151,142,122,157
115,133,150,139,119,152
120,125,160,137,113,146
125,126,153,135,118,147
130,133,153,133,129,147
135,132,150,132,148,147
140,134,144,130,146,141
145,129,139,131,141,142
150,122,135,132,141,137
155,122,132,122,148,139
160,122,120,122,147,143
165,122,125,125,144,139
170,126,125,134,143,139
175,133,112,150,138,150
180,141,116,157,139,154
185,140,119,159,136,159
190,139,114,157,135,167
195,140,115,148,128,168
200,140,110,146,128,167
205,139,116,147,116,169
210,138,117,145,122,167
215,133,110,144,148,165
220,135,108,141,153,165
225,134,104,141,148,165
230,131,105,139,146,164
235,130,112,140,142,163
240,134,110,138,142,157
245,125,117,136,140,157
250,125,118,134,137,157
255,129,109,135,138,159
260,129,112,142,134,157
265,126,112,147,138,157
270,141,113,158,128,156
275,140,112,157,129,154
280,141,115,157,129,150
285,135,130,145,129,149
290,136,132,148,140,148
295,139,139,146,157,146
300,137,153,134,156,143
305,136,153,137,149,141
310,140,153,139,148,150
315,140,155,136,145,162
320,132,156,138,142,168
325,133,154,137,141,169
330,128,145,137,136,168
335,128,146,133,135,169
340,129,151,133,139,164
345,130,149,134,133,168
350,133,140,134,134,166
355,133,139,135,135,168
360,121,123,135,136,168
365,116,122,132,136,168
370,114,122,132,138,169
375,121,113,131,155,157
380,125,112,137,154,155
385,131,119,146,153,150
390,137,129,159,153,142
395,137,127,159,150,145
400,137,117,155,149,143
405,143,107,154,153,144
410,139,116,147,152,137
415,138,107,147,152,141
420,137,108,142,152,132
,,,,,390
,,,,,395
,,,,,400
,,,,,405
,,,,,410
,,,,,415
,,,,,420
