Time (seconds),Walk HR,Bike HR,Weights HR
0,101.4,103.2,131.8
5,100.1,108.2,134.4
10,102.7,109.9,133.2
15,103.4,112.8,134.4
20,104.3,115.5,134.8
25,104.4,120,136
30,104.6,123.6,135
35,104.9,125.5,134.8
40,105.1,127.8,137
45,106.9,127.4,136.8
50,108.9,126.7,138.6
55,108.7,128.1,137.6
60,108.6,130.3,137.6
65,108.5,129.5,138.4
70,107.9,129.3,140
75,106.3,129.7,142.2
80,106.8,131.2,140.4
85,104.9,133.2,141.4
90,104.6,134.7,142.8
95,106.1,135,146.8
100,106.2,135.6,145
105,105.9,137.2,142.6
110,104.5,142.4,141
115,104.3,146.9,138.6
120,106.2,148.9,136.2
125,106.3,149.6,135.8
130,105.7,148.9,139
135,105,148.6,141.8
140,105.9,147.5,139
145,106,146.9,136.4
150,105.3,145.9,133.4
155,104.8,145.8,132.6
160,104.1,143.8,130.8
165,102.8,140.7,131
170,105.3,138.4,133.4
175,105.2,139.1,136.6
180,106.1,138.1,141.4
185,105.8,136.4,142.6
190,105.8,136.7,142.4
195,106.6,137.2,139.8
200,107.1,138.7,138.2
205,106.2,140.2,137.4
210,106.2,142.5,137.8
215,106.3,143.9,140
220,104.1,144.2,140.4
225,104,145.3,138.4
230,102.2,144.3,137
235,103.3,142.9,137.4
240,100.7,142,136.2
245,100.1,142.6,135
250,102,145.4,134.2
255,103,146.3,134
260,104,147.3,134.8
265,104,148.7,136
270,105,150.1,139.2
275,106.6,150.2,138.4
280,106.6,149.8,138.4
285,106.9,149.4,137.6
290,108.5,149.9,140.8
295,108.7,150.1,145.4
300,109.4,150.4,144.6
305,107.6,151.1,143.2
310,109.1,153.4,146
315,108,152.6,147.6
320,108.2,153.3,147.2
325,108.3,154.2,146.8
330,106.1,155.9,142.8
335,108.1,157,142.2
340,108.2,157.2,143.2
345,108.1,157.6,142.8
350,107.3,157.3,141.4
355,107.5,157.1,142
360,105.9,160.2,136.6
365,104.2,160.9,134.8
370,104.3,162.6,135
375,105.1,163.7,135.4
380,106.5,163.4,136.6
385,105.7,163.1,139.8
390,107.9,162.3,144
395,108.2,162.5,143.6
400,108.2,162.2,140.2
405,108.5,162.4,140.2
410,109.2,162.2,138.2
415,109,163,137
420,109.6,162.8,134.2
